MSI URLs to be Redirected (exisiting and working in MSI side),Zebra Vanity URLs (To Be Created),"NewCo Zebra URL (existing, not prod in CQ)",Added to CQ
,www.zebra.com/utilitiesforios,us/en.html,
,www.zebra.com/utilitiesforandroid,us/en.html,
www.motorola.com/teamexpress,www.zebra.com/teamexpress,us/en.html,
"
http://www.motorolasolutions.com/enterprise/",www.zebra.com/home,us/en.html,
www.motorolasolutions.com/mesh,www.zebra.com/mesh,us/en.html,
http://www.motorolasolutions.com/recycling/weee,www.zebra.com/weee,us/en/about-zebra/company-information/compliance/products-and-materials-compliance/environmental-management/weee-faqs.html,
http://responsibility.motorolasolutions.com/index.php/downloads,www.zebra.com/corporateresponsibility,us/en/about-zebra/company-information/corporate-responsibility.html,
"www.motorola.com/enterprise/contactus
",www.zebra.com/contact,us/en/about-zebra/contact-us/contact-zebra.html,
http://newsroom.motorolasolutions.com,www.zebra.com/newsroom,us/en/about-zebra/newsroom.html,
www.motorolasolutions.com/pickanewdirection,www.zebra.com/pickanewdirection,us/en/cpn/pick-a-new-direction.html,
www.motorolasolutions.com/rockwellautomation,www.zebra.com/rockwellautomation,us/en/cpn/rockwell-automation.html,
,www.zebra.com/discontinued,us/en/discontinued.html,
www.motorolasolutions.com/ds4208hc,www.zebra.com/ds4208hc,us/en/discontinued.html,
,www.zebra.com/ls7708,us/en/discontinued.html,
www.motorolasolutions.com/ls9203i,www.zebra.com/ls9203i,us/en/discontinued.html,
www.motorolasolutions.com/ls9208i,www.zebra.com/ls9208i,us/en/discontinued.html,
www.motorolasolutions.com/ms2200,www.zebra.com/ms2200,us/en/discontinued.html,
www.motorolasolutions.com/ms3200,www.zebra.com/ms3200,us/en/discontinued.html,
www.motorolasolutions.com/m4400,www.zebra.com/m4400,us/en/discontinued.html,
,www.zebra.com/ls4208,us/en/discontinued.html,
www.motorolasolutions.com/se1224hp,www.zebra.com/se1224hp,us/en/discontinued.html,
www.motorolasolutions.com/se1200alr,www.zebra.com/se1200alr,us/en/discontinued.html,
www.motorolasolutions.com/se1200hp,www.zebra.com/se1200hp,us/en/discontinued.html,
www.motorolasolutions.com/se1200lr,www.zebra.com/se1200lr,us/en/discontinued.html,
www.motorolasolutions.com/se1200vhd,www.zebra.com/se1200vhd,us/en/discontinued.html,
www.motorolasolutions.com/se1200wa,www.zebra.com/se1200wa,us/en/discontinued.html,
www.motorolasolutions.com/se2223,www.zebra.com/se2223,us/en/discontinued.html,
www.motorolasolutions.com/se3223,www.zebra.com/se3223,us/en/discontinued.html,
www.motorolasolutions.com/se4400,www.zebra.com/se4400,us/en/discontinued.html,
www.motorolasolutions.com/7530g2,www.zebra.com/7530g2,us/en/discontinued.html,
www.motorolasolutions.com/es400,www.zebra.com/es400,us/en/discontinued.html,
www.motorolasolutions.com/mc1000,www.zebra.com/mc1000,us/en/discontinued.html,
www.motorolasolutions.com/mc75,www.zebra.com/mc75,us/en/discontinued.html,
www.motorolasolutions.com/omniirt15,www.zebra.com/omniirt15,us/en/discontinued.html,
www.motorolasolutions.com/rs309,www.zebra.com/rs309,us/en/discontinued.html,
www.motorolasolutions.com/rs409,www.zebra.com/rs409,us/en/discontinued.html,
www.motorolasolutions.com/vc9050,www.zebra.com/vc9050,us/en/discontinued.html,
www.motorolasolutions.com/vc6096 ,www.zebra.com/vc6096 ,us/en/discontinued.html,
www.motorola.com/vc6096,www.zebra.com/vc6096 ,us/en/discontinued.html,
www.motorolasolutions.com/workaboutpro3,www.zebra.com/workaboutpro3,us/en/discontinued.html,
www.motorolasolutions.com/fx7400,www.zebra.com/fx7400,us/en/discontinued.html,
www.motorolasolutions.com/ap650,www.zebra.com/ap650,us/en/discontinued.html,
www.motorolasolutions.com/ap7131,www.zebra.com/ap7131,us/en/discontinued.html,
www.motorolasolutions.com/rfs7000,www.zebra.com/rfs7000,us/en/discontinued.html,
www.motorolasolutions.com/nx4500,www.zebra.com/nx4500,us/en/discontinued.html,
www.motorolasolutions.com/pocketbrowser,www.zebra.com/pocketbrowser,us/en/discontinued.html,
www.motorolasolutions.com/AP8200,www.zebra.com/ap8200,us/en/discontinued.html,
,www.zebra.com/partners,us/en/partners.html,
www.motorolasolutions.com/Enterprise,www.zebra.com/products,us/en/products.html,
http://www.motorolasolutions.com/cs5014,www.zebra.com/cs5014,us/en/products.html,
,www.zebra.com/accessories,us/en/products/accessories.html,
www.motorola.com/mobilepayment,www.zebra.com/mobilepayment,us/en/products/accessories/mobile-computer/mobile-payment-device.html,
,www.zebra.com/dcr7x00-100r,us/en/products/accessories/mobile-computer/mobile-payment-device/dcr7x00-100r.html,
,www.zebra.com/dcr7x00-200r,us/en/products/accessories/mobile-computer/mobile-payment-device/dcr7x00-200r.html,
,www.zebra.com/msr-tc7x-snp1-01,us/en/products/accessories/mobile-computer/mobile-payment-device/magnetic-card-reader.html,
www.motorolasolutions.com/MPM100,www.zebra.com/mpm100,us/en/products/accessories/mobile-computer/mobile-payment-device/mpm-100.html,
,www.zebra.com/pd40-100,us/en/products/accessories/mobile-computer/mobile-payment-device/pd40.html,
http://www.motorola.com/microkiosks,www.zebra.com/microkiosks,us/en/products/interactive-kiosks.html,
www.motorolasolutions.com/CC5000,www.zebra.com/cc5000,us/en/products/interactive-kiosks/cc5000.html,
"www.motorolasolutions.com/mk3100
www.motorola.com/mk3100",www.zebra.com/mk3100,us/en/products/interactive-kiosks/mk3100.html,
"www.motorolasolutions.com/mk4000
www.motorola.com/mk4000",www.zebra.com/mk4000,us/en/products/interactive-kiosks/mk4000.html,
